2023-01-13 22:35:54 WARNING unable to delete old logfile -> floetteroed.cadyts.calibrators.Calibrator.<init>
2023-01-13 22:35:54 INFO starting AnalyticalCalibrator version 1.1.0
2023-01-13 22:35:54 INFO initializing with randomSeed = -4861521949016037020, timeBinSize_s = 3600, timeBinCnt = 24
2023-01-13 22:35:54 INFO default regressionInertia is 0.95
2023-01-13 22:35:54 INFO default freezeIteration is 2147483647
2023-01-13 22:35:54 INFO default varianceScale is 1.0
2023-01-13 22:35:54 INFO default preparatoryIterations is 1
2023-01-13 22:35:54 INFO default centerRegression is false
2023-01-13 22:35:54 INFO default statisticsFile is calibration-stats.txt
2023-01-13 22:35:54 INFO default proportionalAssignment is false
2023-01-13 22:35:54 INFO default debugMode is false
2023-01-13 22:35:54 INFO default flowAnalysisFile is null
2023-01-13 22:35:54 INFO default countFirstLink is false
2023-01-13 22:35:54 INFO default countLastLink is true
2023-01-13 22:35:54 INFO default minimum standard deviation for FLOW_VEH_H is 25.0
2023-01-13 22:35:54 INFO default minimum standard deviation for COUNT_VEH is 25.0
2023-01-13 22:35:54 INFO default bruteForce is false
2023-01-13 22:35:54 INFO set regressionInertia to 0.95
2023-01-13 22:35:54 INFO set minimum standard deviation for FLOW_VEH_H to 25.0
2023-01-13 22:35:54 INFO set minimum standard deviation for COUNT_VEH to 25.0
2023-01-13 22:35:54 INFO set freezeIteration to 2147483647
2023-01-13 22:35:54 INFO set preparatoryIterations to 5
2023-01-13 22:35:54 INFO set varianceScale to 1.0
2023-01-13 22:35:54 INFO set bruteForce to false
2023-01-13 22:35:54 INFO set statisticsFile to ./output_10P_14C_Calib_v7/calibration-stats.txt
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 18000, dur_s = 3599, value = 607.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 21600, dur_s = 3599, value = 505.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 25200, dur_s = 3599, value = 425.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 28800, dur_s = 3599, value = 455.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 32400, dur_s = 3599, value = 416.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 36000, dur_s = 3599, value = 480.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 39600, dur_s = 3599, value = 529.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 43200, dur_s = 3599, value = 515.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 46800, dur_s = 3599, value = 422.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 50400, dur_s = 3599, value = 454.0, stddev = 25.0)
2023-01-13 22:35:54 INFO added SingleLinkMeasurement(type = COUNT_VEH, link = org.matsim.core.network.LinkImpl@18dd5ed3[id=1031825659_2][from_id=4645720302][to_id=3640913577][length=26.408973533649448][freespeed=13.88888888888889][capacity=2000.0][permlanes=1.0][modes=[car], start_s = 54000, dur_s = 3599, value = 416.0, stddev = 25.0)
